metric	mean	sd	se	ci_lower	ci_upper
hit_rate_15pct	0.05	0.1118033988749895	0.05	-0.048	0.14800000000000002
auc	0.29672824999999997	0.18812252412739547	0.0841309504095401	0.13183158719730137	0.4616249128026986
baseline_gain_csr	0.33333333333333337	0.74535599249993	0.33333333333333337	-0.32000000000000006	0.9866666666666668
baseline_gain_opportunity	nan	nan	nan	nan	nan
