threshold	tpr	fpr	tp	fp	fn	tn
2.537575335319255	0.64	0.50485	16	10097	9	9903
2.5772841181604647	0.64	0.49985	16	9997	9	10003
2.615499392127746	0.64	0.4948	16	9896	9	10104
2.6501768459472252	0.64	0.4898	16	9796	9	10204
2.693993506982228	0.64	0.4848	16	9696	9	10304
2.729790063832361	0.64	0.4798	16	9596	9	10404
2.7725459866282023	0.64	0.4748	16	9496	9	10504
2.8082519934891126	0.64	0.4698	16	9396	9	10604
2.851519260151806	0.64	0.4648	16	9296	9	10704
2.886327748864822	0.64	0.4598	16	9196	9	10804
2.9291506569513777	0.64	0.45475	16	9095	9	10905
2.9716721046271894	0.64	0.44975	16	8995	9	11005
3.013279194299273	0.64	0.44475	16	8895	9	11105
3.064119773581864	0.64	0.43975	16	8795	9	11205
3.120808629872048	0.64	0.43475	16	8695	9	11305
3.1679114922580207	0.64	0.42975	16	8595	9	11405
3.216331284219633	0.64	0.42475	16	8495	9	11505
3.2684353321780857	0.64	0.41975	16	8395	9	11605
3.326868370836473	0.64	0.4147	16	8294	9	11706
3.3848099246656473	0.64	0.4097	16	8194	9	11806
3.436557993805945	0.64	0.4047	16	8094	9	11906
3.492986853790135	0.64	0.3997	16	7994	9	12006
3.5488062383829417	0.64	0.3947	16	7894	9	12106
3.6018373389436524	0.64	0.3897	16	7794	9	12206
3.661031131889873	0.64	0.3847	16	7694	9	12306
3.7282966325933367	0.64	0.3797	16	7594	9	12406
3.802093997301456	0.64	0.3747	16	7494	9	12506
3.860734207256835	0.64	0.36965	16	7393	9	12607
3.9287757144426574	0.64	0.36465	16	7293	9	12707
4.001966223309073	0.6	0.3597	15	7194	10	12806
4.071592003225321	0.56	0.35475	14	7095	11	12905
4.137196274943595	0.56	0.34975	14	6995	11	13005
4.209106500355605	0.56	0.34475	14	6895	11	13105
4.27236442621403	0.56	0.33975	14	6795	11	13205
4.349443617264661	0.56	0.33475	14	6695	11	13305
4.428789089779011	0.56	0.3297	14	6594	11	13406
4.505250600775865	0.56	0.3247	14	6494	11	13506
4.587675478329302	0.56	0.3197	14	6394	11	13606
4.664777715974867	0.52	0.31475	13	6295	12	13705
4.740570369976475	0.52	0.30975	13	6195	12	13805
4.831498063875739	0.52	0.30475	13	6095	12	13905
4.924674109448978	0.44	0.29985	11	5997	14	14003
5.017586620460156	0.44	0.29485	11	5897	14	14103
5.099061010600734	0.4	0.28985	10	5797	15	14203
5.191790575387288	0.4	0.28485	10	5697	15	14303
5.294868125765028	0.4	0.27985	10	5597	15	14403
5.371094018432602	0.4	0.27485	10	5497	15	14503
5.4763127352109855	0.4	0.26985	10	5397	15	14603
5.57240959524328	0.4	0.26485	10	5297	15	14703
5.671015679776507	0.36	0.2599	9	5198	16	14802
5.766314926250976	0.36	0.2549	9	5098	16	14902
5.871661555647483	0.36	0.2499	9	4998	16	15002
5.979719823286696	0.36	0.24485	9	4897	16	15103
6.080441746280447	0.36	0.23985	9	4797	16	15203
6.185328549425983	0.36	0.23485	9	4697	16	15303
6.294390804435209	0.32	0.2299	8	4598	17	15402
6.417588353593407	0.32	0.2249	8	4498	17	15502
6.543725770443132	0.32	0.2199	8	4398	17	15602
6.669505929200143	0.32	0.2149	8	4298	17	15702
6.814462983787547	0.32	0.2099	8	4198	17	15802
6.965719518502445	0.32	0.20485	8	4097	17	15903
7.121357539050299	0.32	0.19985	8	3997	17	16003
7.2554890077096585	0.32	0.19485	8	3897	17	16103
7.392081334557985	0.32	0.18985	8	3797	17	16203
7.574928124651391	0.32	0.18485	8	3697	17	16303
7.729978276930457	0.32	0.17985	8	3597	17	16403
7.879500574468769	0.32	0.17485	8	3497	17	16503
8.040300892828999	0.32	0.16985	8	3397	17	16603
8.194963709626402	0.28	0.16485	7	3297	18	16703
8.372589607555458	0.24	0.1599	6	3198	19	16802
