fold	original_training_sites	sites_excluded_by_buffer	final_training_sites	exclusion_rate_pct
1	644	23	621	3.5714285714285716
2	644	13	631	2.018633540372671
3	644	30	614	4.658385093167702
4	644	18	626	2.7950310559006213
5	644	52	592	8.074534161490684
