region	soil_grade1_enrichment	elevation_lt244_pct	roman_road_lt5km_pct	waterway_lt2km_pct	zone_cells_in_region	total_cells_in_region
Yorkshire Lowlands	1.2543115535614133	99.94391475042063	69.46158160403813	87.71733034212002	3566	16265
Northwest Coastal/Estuarine	0.0	80.5944055944056	23.6013986013986	98.25174825174825	572	11501
