infrastructure_type	distance_threshold	zone_percent_within	landscape_percent_within	enrichment_ratio	chi2_statistic	p_value	df
Roman Roads	lt_2km	34.45092322643343	20.681818181818183	1.665758925234144	377.44052640850686	4.489559764260732e-84	1
Roman Roads	lt_5km	62.925170068027214	44.00514579759863	1.4299502689401624	502.9452515291507	2.173435389703593e-111	1
Roman Roads	lt_10km	82.16715257531584	71.43653516295025	1.15021189630612	204.60515040782866	2.0650977710829698e-46	1
Major Waterways	lt_1km	79.3488824101069	93.76072041166381	0.8462913047352815	944.2407736007624	2.369524350613495e-207	1
Major Waterways	lt_2km	89.1156462585034	98.34048027444254	0.9061949464737711	1008.9215277073514	2.065645998232989e-221	1
Major Waterways	lt_5km	97.78911564625851	99.95711835334477	0.9783106721882233	448.33629099293444	1.6602984764920448e-99	1
