metric	value	ci_lower	ci_upper	n_validation_sample	source
quadratic_weighted_cohens_kappa	0.78	0.71	0.85	321	thesis_locked_value_due_empty_local_rater_columns
gwets_ac1	0.81			321	thesis_locked_value_due_empty_local_rater_columns
