variable	zone_proportion_pct	baseline_proportion_pct	enrichment_ratio	pearson_r	chi_square	p_unadjusted	p_fdr	fdr_significant
Soil Grade 1	0.8017492711370262	1.6337907375643224	0.4907294751421379	-0.033071370996177525	16.296592914634957	5.416124681175653e-05	5.416124681175653e-05	YES
Soil Grades 1-3	83.45481049562682	37.56003430531732	2.2219045333462923	0.4175414137673427	2984.441504249509	0.0	0.0	YES
Elevation <244 m	97.25461613216714	69.48542024013722	1.3996406123192655	0.3255873105257802	1390.1806794001407	2.8588649462410587e-304	1.1435459784964235e-303	YES
Roman Road <5 km	62.925170068027214	44.00514579759863	1.4299502689401624	0.1556726461953542	502.9452515291507	2.173435389703593e-111	4.346870779407186e-111	YES
Roman Road <10 km	82.16715257531584	71.43653516295025	1.15021189630612	0.103292257455418	204.60515040782866	2.0650977710829698e-46	2.360111738380537e-46	YES
Waterway <2 km	89.1156462585034	98.34048027444254	0.9061949464737711	-0.19096836266267428	1008.9215277073514	2.065645998232989e-221	5.508389328621304e-221	YES
Waterway <5 km	97.78911564625851	99.95711835334477	0.9783106721882233	-0.13213785888187546	448.33629099293444	1.6602984764920448e-99	2.213731301989393e-99	YES
Estuarine <5 km	97.78911564625851	99.95711835334477	0.9783106721882233	-0.13213785888187546	448.33629099293444	1.6602984764920448e-99	2.213731301989393e-99	YES
