metric	mean	sd	se	ci_lower	ci_upper
hit_rate_15pct	0.025	0.05590169943749475	0.025	-0.024	0.07400000000000001
auc	0.25999875	0.16388517747286513	0.07329167946678872	0.11634705824509411	0.4036504417549059
baseline_gain_csr	0.16666666666666669	0.372677996249965	0.16666666666666669	-0.16000000000000003	0.4933333333333334
baseline_gain_opportunity	nan	nan	nan	nan	nan
