threshold	tpr	fpr	tp	fp	fn	tn
0.00033481856465785765	1.0	1.0	27	20000	0	0
0.0020546860283433338	1.0	0.99495	27	19899	0	101
0.004479666323423001	1.0	0.98995	27	19799	0	201
0.00754093832978388	1.0	0.98495	27	19699	0	301
0.011742112961969652	1.0	0.97995	27	19599	0	401
0.016663545571969373	1.0	0.97495	27	19499	0	501
0.02288865908525551	1.0	0.96995	27	19399	0	601
0.03045289427412401	1.0	0.96495	27	19299	0	701
0.03782183506526213	1.0	0.9599	27	19198	0	802
0.046750573725561614	1.0	0.9549	27	19098	0	902
0.05757188487265228	1.0	0.9499	27	18998	0	1002
0.06924991694011573	1.0	0.9449	27	18898	0	1102
0.08180384007646413	1.0	0.9399	27	18798	0	1202
0.09608174065146362	1.0	0.9349	27	18698	0	1302
0.11093908332321559	1.0	0.9299	27	18598	0	1402
0.12584509708706224	1.0	0.9249	27	18498	0	1502
0.1421660748751741	1.0	0.91985	27	18397	0	1603
0.15997708801928662	1.0	0.91485	27	18297	0	1703
0.1791009920975321	1.0	0.90985	27	18197	0	1803
0.20142245066086104	1.0	0.90485	27	18097	0	1903
0.21998145313211276	1.0	0.89985	27	17997	0	2003
0.2438524901735451	1.0	0.89485	27	17897	0	2103
0.2663723889554142	1.0	0.88985	27	17797	0	2203
0.28813497911746644	1.0	0.88485	27	17697	0	2303
0.3084761843906196	1.0	0.8798	27	17596	0	2404
0.3300119729783131	1.0	0.8748	27	17496	0	2504
0.3480695474888297	1.0	0.8698	27	17396	0	2604
0.37053433799966057	1.0	0.8648	27	17296	0	2704
0.3871681103679958	0.9629629629629629	0.85985	26	17197	1	2803
0.4072036845223377	0.9629629629629629	0.85485	26	17097	1	2903
0.43167808564710725	0.9629629629629629	0.84985	26	16997	1	3003
0.4531031153773336	0.9629629629629629	0.8448	26	16896	1	3104
0.47860796213450985	0.9629629629629629	0.8398	26	16796	1	3204
0.5062138965231622	0.9629629629629629	0.8348	26	16696	1	3304
0.5333323648890791	0.9629629629629629	0.8298	26	16596	1	3404
0.5591614696455224	0.9629629629629629	0.8248	26	16496	1	3504
0.5941197739914524	0.9629629629629629	0.8198	26	16396	1	3604
0.6224959675911126	0.9629629629629629	0.8148	26	16296	1	3704
0.6465585413976083	0.9259259259259259	0.80985	25	16197	2	3803
0.6790748451996862	0.9259259259259259	0.8048	25	16096	2	3904
0.7064057023483198	0.8518518518518519	0.7999	23	15998	4	4002
0.7350220284428997	0.8518518518518519	0.7949	23	15898	4	4102
0.760985424954664	0.8518518518518519	0.7899	23	15798	4	4202
0.7926906394031695	0.8518518518518519	0.7849	23	15698	4	4302
0.8195835958000837	0.8518518518518519	0.7799	23	15598	4	4402
0.8537441763239131	0.8518518518518519	0.7749	23	15498	4	4502
0.8817654061893399	0.8518518518518519	0.7699	23	15398	4	4602
0.9125727087339067	0.8148148148148148	0.7649	22	15298	5	4702
0.9405136958580727	0.8148148148148148	0.7599	22	15198	5	4802
0.9711834456999296	0.7777777777777778	0.75495	21	15099	6	4901
1.0016197245277343	0.7777777777777778	0.74995	21	14999	6	5001
1.032964859905542	0.7777777777777778	0.74495	21	14899	6	5101
1.058063623967449	0.7777777777777778	0.73995	21	14799	6	5201
1.0842073066552498	0.7777777777777778	0.73495	21	14699	6	5301
1.1124717200940524	0.7777777777777778	0.7299	21	14598	6	5402
1.1421621920217593	0.7777777777777778	0.7249	21	14498	6	5502
1.1686445912416366	0.7777777777777778	0.7199	21	14398	6	5602
1.1986549697277222	0.7777777777777778	0.7149	21	14298	6	5702
1.232075516183436	0.7777777777777778	0.7099	21	14198	6	5802
1.263058849974994	0.7777777777777778	0.7049	21	14098	6	5902
1.2969514574062175	0.7777777777777778	0.6999	21	13998	6	6002
1.322005175501328	0.7777777777777778	0.6949	21	13898	6	6102
1.354226695674696	0.7777777777777778	0.68985	21	13797	6	6203
1.3876133239286315	0.7777777777777778	0.68485	21	13697	6	6303
1.4135355126974238	0.7777777777777778	0.67985	21	13597	6	6403
1.4493798130502393	0.7777777777777778	0.67485	21	13497	6	6503
1.4794799006903	0.7777777777777778	0.66985	21	13397	6	6603
1.5076809905309743	0.7777777777777778	0.66485	21	13297	6	6703
1.5388302923775679	0.7777777777777778	0.65985	21	13197	6	6803
